Electrolyte,Ionic Conductivity,LIC,Solvent_1,Solvent_2,Solvent_3,Solvent_4,Solvent_5,Salt_1,Salt_2,Salt_3,Temperature,Reference
1 m LiPF6 in EC:DMC (3:7 w/w),11.14,1.05,C1COC(=O)O1:4.49683177761123,COC(=O)OC:8.31501587513044,,,,[Li+].F[P-](F)(F)(F)(F)F:1,,,25.0,1
0.1 m LiDFP + 0.4 m LiBOB in EC:DMC (3:7 w/w),5.27,0.72,C1COC(=O)O1:4.49683177761123,COC(=O)OC:8.31501587513044,,,,[Li+].[O-]P(=O)(F)F:0.1,[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2:0.4,,25.0,1
0.1 m LiDFP + 0.4 m LiFSI in EC:DMC (3:7 w/w),7.35,0.87,C1COC(=O)O1:4.49683177761123,COC(=O)OC:8.31501587513044,,,,[Li+].[O-]P(=O)(F)F:0.1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.4,,25.0,1
0.1 m LiDFP + 0.4 m LiTFSI in EC:DMC (3:7 w/w),6.21,0.79,C1COC(=O)O1:4.49683177761123,COC(=O)OC:8.31501587513044,,,,[Li+].[O-]P(=O)(F)F:0.1,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:0.4,,25.0,1
0.5 m LiPF6 in EC:DMC (3:7 w/w),8.5,0.93,C1COC(=O)O1:4.49683177761123,COC(=O)OC:8.31501587513044,,,,[Li+].F[P-](F)(F)(F)(F)F:0.5,,,25.0,1
1 M LiFSI in DMB,3.8,0.58,COCCCCOC:7.24367870561554,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,25.0,3
1 M LiFSI in FDMB,3.5,0.54,COCC(F)(F)C(F)(F)COC:6.36373198695698,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,25.0,3
1 M LiTFSI in DME,16.4,1.21,COCCOC:9.63160230803373,,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:1,,,25.0,3
1 M LiTFSI in DMB,4.6,0.66,COCCCCOC:7.24367870561554,,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:1,,,25.0,3
1 M LiTFSI in FDMB,3.0,0.48,COCC(F)(F)C(F)(F)COC:6.36373198695698,,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:1,,,25.0,3
1 M LiFSI in DME,16.93,1.23,COCCOC:9.63160230803373,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,25.0,4
2 M LiFSI in DME,10.01,1.0,COCCOC:9.63160230803373,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:2,,,25.0,4
0.5 M LiFSI + 0.5 M LiPO2F2 in DME,12.54,1.1,COCCOC:9.63160230803373,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.5,[Li+].FP(F)(=O)([O-]):0.5,,25.0,4
1 M LiFSI + 1 M LiPO2F2 in DME,9.98,1.0,COCCOC:9.63160230803373,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,[Li+].FP(F)(=O)([O-]):1,,25.0,4
1 M LiPO2F2 in DME,0.38,-0.42,COCCOC:9.63160230803373,,,,,[Li+].FP(F)(=O)([O-]):1,,,25.0,4
2 M LiPO2F2 in DME,0.32,-0.49,COCCOC:9.63160230803373,,,,,[Li+].FP(F)(=O)([O-]):2,,,25.0,4
"1:2 molar ratio LiFSI–TEP (~2.2 mol/L) electrolyte, no additives specified",1.3,0.11,CCOP(=O)(OCC)OCC:5.88516247330541,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:2.2,,,25.0,8
LiFSI-TEP 1:5,4.71,0.67,CCOP(=O)(OCC)OCC:5,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,25.0,8
LiFSI-TEP 1:3,2.66,0.42,CCOP(=O)(OCC)OCC:3,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,25.0,8
LiFSI-TEP 1:2,1.4,0.15,CCOP(=O)(OCC)OCC:2,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,25.0,8
LiFSI-TEP 1:1,0.38,-0.42,CCOP(=O)(OCC)OCC:1,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,25.0,8
3.2 M LiFSI in TEP (HCE),0.52,-0.28,CCOP(=O)(OCC)OCC:5.88516247330541,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:3.2,,,25.0,13
"2.0 M LiFSI in TEP:BTFE (1:1, mol)",1.13,0.05,CCOP(=O)(OCC)OCC:3.33779,C(C(F)(F)F)OCC(F)(F)F:3.33779,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:2.0,,,25.0,13
"1.5 M LiFSI in TEP:BTFE (1:2, mol)",1.21,0.08,CCOP(=O)(OCC)OCC:2.32948,C(C(F)(F)F)OCC(F)(F)F:4.65896,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1.5,,,25.0,13
1.2 M LiFSI in TEP:BTFE (1:3 mol),1.29,0.11,CCOP(=O)(OCC)OCC:1.78903,C(C(F)(F)F)OCC(F)(F)F:5.36709,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1.2,,,25.0,13
1 M LiTFSI in DME,12.99,1.11,COCCOC:9.63160230803373,,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:1,,,25.0,17
1 M LiDFOB in DME,11.85,1.07,COCCOC:9.63160230803373,,,,,[Li+].[B-]1(OC(=O)C(=O)O1)(F)F:1,,,25.0,17
0.5 M LiTFSI + 0.5 M LiDFOB in DME,12.14,1.08,COCCOC:9.63160230803373,,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:0.5,[Li+].[B-]1(OC(=O)C(=O)O1)(F)F:0.5,,25.0,17
3 M LiTFSI in DME,2.43,0.39,COCCOC:9.63160230803373,,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:3,,,25.0,17
4 M LiDFOB in DME,1.99,0.3,COCCOC:9.63160230803373,,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:4,,,25.0,17
2 M LiTFSI + 2 M LiDFOB in DME,2.31,0.36,COCCOC:9.63160230803373,,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:2,[Li+].[B-]1(OC(=O)C(=O)O1)(F)F:2,,25.0,17
5 M LiFSI in DME,1.7,0.23,COCCOC:9.63160230803373,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:5,,,25.0,18
4 M LiFSI in DME,5.7,0.76,COCCOC:9.63160230803373,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:4,,,25.0,18
1 M LiFSI in DME,16.9,1.23,COCCOC:9.63160230803373,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,25.0,18
2 M LiFSI in DME (DME/LiFSI mole ratio 4/1),13.1,1.12,COCCOC:4,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:2,,,25.0,18
3 M LiFSI in DME (DME/LiFSI mole ratio 2.2/1),9.4,0.97,COCCOC:2.2,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:3,,,25.0,18
3.6 M LiFSI in DME (DME/LiFSI mole ratio 2/1),7.2,0.86,COCCOC:2,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:3.6,,,25.0,18
LiFSI:DME = 1:1,1.75,0.24,COCCOC:1,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,25.0,19
"LiFSI:DME = 1:1, 10% HFME by mass",2.21,0.34,COCCOC:1,COC(C(F)(F)F)C(F)(F)F:0.15224,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,25.0,19
"LiFSI:DME = 1:1, 20% HFME by mass",2.71,0.43,COCCOC:1,COC(C(F)(F)F)C(F)(F)F:0.30448,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,25.0,19
"LiFSI:DME = 1:1, 30% HFME by mass",2.98,0.47,COCCOC:1,COC(C(F)(F)F)C(F)(F)F:0.45672,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,25.0,19
"LiFSI:DME = 1:1, 40% HFME by mass",3.24,0.51,COCCOC:1,COC(C(F)(F)F)C(F)(F)F:0.60896,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,25.0,19
"LiFSI:DME = 1:1, 50% HFME by mass",3.17,0.5,COCCOC:1,COC(C(F)(F)F)C(F)(F)F:0.7612,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,25.0,19
"LiFSI:DME = 1:1, 60% HFME by mass",3.0,0.48,COCCOC:1,COC(C(F)(F)F)C(F)(F)F:0.91344,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,25.0,19
"LiFSI:DME = 1:1, 70% HFME by mass",2.29,0.36,COCCOC:1,COC(C(F)(F)F)C(F)(F)F:1.06568,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,25.0,19
"LiFSI:DME = 1:1, 80% HFME by mass",1.74,0.24,COCCOC:1,COC(C(F)(F)F)C(F)(F)F:1.21792,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,25.0,19
"LiFSI:DME = 1:1, 90% HFME by mass",0.89,-0.05,COCCOC:1,COC(C(F)(F)F)C(F)(F)F:1.37016,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,25.0,19
LiFSI:DME = 1:24 (mol ratio),8.44,0.93,COCCOC:24,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,25.0,19
LiFSI:DME = 1:20 (mol ratio),9.97,1.0,COCCOC:20,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,25.0,19
LiFSI:DME = 1:16 (mol ratio),12.18,1.09,COCCOC:16,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,25.0,19
LiFSI:DME = 1:12 (mol ratio),15.15,1.18,COCCOC:12,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,25.0,19
LiFSI:DME = 1:10 (mol ratio),16.87,1.23,COCCOC:10,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,25.0,19
LiFSI:DME = 1:8 (mol ratio),18.37,1.26,COCCOC:8,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,25.0,19
LiFSI:DME = 1:6 (mol ratio),18.73,1.27,COCCOC:6,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,25.0,19
LiFSI:DME = 1:4 (mol ratio),14.82,1.17,COCCOC:4,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,25.0,19
LiFSI:DME = 1:2 (mol ratio),7.98,0.9,COCCOC:2,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,25.0,19
LiFSI:DME = 1:1.5 (mol ratio),5.83,0.77,COCCOC:1.5,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,25.0,19
LiFSI:DME = 1:1.2 (mol ratio),4.3,0.63,COCCOC:1.2,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,25.0,19
LiFSI:DME = 1:1 (mol ratio),1.74,0.24,COCCOC:1,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,25.0,19
"7 M LiTFSI in DOL/DME (1/1, v/v)",0.79,-0.1,COCCOC:4.81580115401687,O1CCOC1:7.15462080509733,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:7,,,25.0,19
"7 M LiTFSI in DOL/DME (1/1, v/v), 10% HFME by mass",1.19,0.08,COCCOC:4.81580115401688,O1CCOC1:7.15462080509734,COC(C(F)(F)F)C(F)(F)F:1.633216,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:7,,,25.0,19
"7 M LiTFSI in DOL/DME (1/1, v/v), 20% HFME by mass",1.38,0.14,COCCOC:4.81580115401689,O1CCOC1:7.15462080509735,COC(C(F)(F)F)C(F)(F)F:3.266432,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:7,,,25.0,19
"7 M LiTFSI in DOL/DME (1/1, v/v), 30% HFME by mass",1.49,0.17,COCCOC:4.81580115401690,O1CCOC1:7.15462080509736,COC(C(F)(F)F)C(F)(F)F:4.899648,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:7,,,25.0,19
"7 M LiTFSI in DOL/DME (1/1, v/v), 40% HFME by mass",1.56,0.19,COCCOC:4.81580115401691,O1CCOC1:7.15462080509737,COC(C(F)(F)F)C(F)(F)F:6.532864,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:7,,,25.0,19
"7 M LiTFSI in DOL/DME (1/1, v/v), 50% HFME by mass",1.6,0.2,COCCOC:4.81580115401692,O1CCOC1:7.15462080509738,COC(C(F)(F)F)C(F)(F)F:8.16608,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:7,,,25.0,19
"7 M LiTFSI in DOL/DME (1/1, v/v), 60% HFME by mass",1.5,0.18,COCCOC:4.81580115401693,O1CCOC1:7.15462080509739,COC(C(F)(F)F)C(F)(F)F:9.799296,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:7,,,25.0,19
"7 M LiTFSI in DOL/DME (1/1, v/v), 70% HFME by mass",1.29,0.11,COCCOC:4.81580115401694,O1CCOC1:7.15462080509740,COC(C(F)(F)F)C(F)(F)F:11.432512,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:7,,,25.0,19
"7 M LiTFSI in DOL/DME (1/1, v/v), 80% HFME by mass",0.86,-0.07,COCCOC:4.81580115401695,O1CCOC1:7.15462080509741,COC(C(F)(F)F)C(F)(F)F:13.065728,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:7,,,25.0,19
"7 M LiTFSI in DOL/DME (1/1, v/v), 90% HFME by mass",0.42,-0.37,COCCOC:4.81580115401696,O1CCOC1:7.15462080509742,COC(C(F)(F)F)C(F)(F)F:14.698944,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:7,,,25.0,19
"6 M LiTFSI in DOL/DME (1/1, v/v)",2.34,0.37,COCCOC:4.81580115401687,O1CCOC1:7.15462080509733,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:6,,,25.0,19
"6 M LiTFSI in DOL/DME (1/1, v/v), 10% HFME by mass",3.26,0.51,COCCOC:4.81580115401688,O1CCOC1:7.15462080509734,C(F)(F)(F)C(OC)C(F)(F)(F):1.47554,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:6,,,25.0,19
"6 M LiTFSI in DOL/DME (1/1, v/v), 20% HFME by mass",3.6,0.56,COCCOC:4.81580115401689,O1CCOC1:7.15462080509735,C(F)(F)(F)C(OC)C(F)(F)(F):2.95108,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:6,,,25.0,19
"6 M LiTFSI in DOL/DME (1/1, v/v), 30% HFME by mass",3.82,0.58,COCCOC:4.81580115401690,O1CCOC1:7.15462080509736,C(F)(F)(F)C(OC)C(F)(F)(F):4.42662,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:6,,,25.0,19
"6 M LiTFSI in DOL/DME (1/1, v/v), 40% HFME by mass",3.65,0.56,COCCOC:4.81580115401691,O1CCOC1:7.15462080509737,C(F)(F)(F)C(OC)C(F)(F)(F):5.90216,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:6,,,25.0,19
"6 M LiTFSI in DOL/DME (1/1, v/v), 50% HFME by mass",3.49,0.54,COCCOC:4.81580115401692,O1CCOC1:7.15462080509738,C(F)(F)(F)C(OC)C(F)(F)(F):7.3777,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:6,,,25.0,19
"6 M LiTFSI in DOL/DME (1/1, v/v), 60% HFME by mass",3.25,0.51,COCCOC:4.81580115401693,O1CCOC1:7.15462080509739,C(F)(F)(F)C(OC)C(F)(F)(F):8.85324,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:6,,,25.0,19
"6 M LiTFSI in DOL/DME (1/1, v/v), 70% HFME by mass",2.61,0.42,COCCOC:4.81580115401694,O1CCOC1:7.15462080509740,C(F)(F)(F)C(OC)C(F)(F)(F):10.32878,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:6,,,25.0,19
"6 M LiTFSI in DOL/DME (1/1, v/v), 80% HFME by mass",1.94,0.29,COCCOC:4.81580115401695,O1CCOC1:7.15462080509741,C(F)(F)(F)C(OC)C(F)(F)(F):11.80432,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:6,,,25.0,19
"6 M LiTFSI in DOL/DME (1/1, v/v), 90% HFME by mass",0.87,-0.06,COCCOC:4.81580115401696,O1CCOC1:7.15462080509742,C(F)(F)(F)C(OC)C(F)(F)(F):13.27986,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:6,,,25.0,19
"2 M LiFSI + 1 M LiTFSI in DOL:DME (1:1 vol/vol), total 3 M salt",12.2,1.09,COCCOC:4.81580115401696,O1CCOC1:7.15462080509742,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:2,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:1,,25.0,20
"1 M LiFSI + 2 M LiTFSI in DOL:DME (1:1 vol/vol), total 3 M salt",3.97,0.6,COCCOC:4.81580115401696,O1CCOC1:7.15462080509742,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:2,,25.0,20
3 M LiTFSI in DOL:DME (1:1 vol/vol),5.45,0.74,COCCOC:4.81580115401696,O1CCOC1:7.15462080509742,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:3,,,25.0,20
1.0 M LiTFPFB in PC,5.4,0.73,CC1COC(=O)O1:11.7545646892877,,,,,[Li+].F[B-](F)(F)OC(C(F)(F)(F))(C(F)(F)(F))C(F)(F)(F):1,,,25.0,21
1.0 M LiBF4 in PC,1.8,0.26,CC1COC(=O)O1:11.7545646892877,,,,,[Li+].F[B-](F)(F)(F):1,,,25.0,21
"2.0 M LiPF6 in tetrahydrofuran (THF)/2-methyl tetrahydrofuran (MTHF), 1:1 volume ratio (mixTHF), no additives",5.4,0.73,C1CCOC1:6.15777210695662,O1C(C)CCC1:4.95762219900151,,,,[Li+].F[P-](F)(F)(F)(F)F:2,,,25.0,22
"1.18 M LiFSI in DMC:BTFE (1.1:2.2 molar ratio, DMC:BTFE), corresponding to LiFSI:DMC:BTFE = 0.51:1.1:2.2 molar ratio",2.67,0.43,COC(=O)OC:1.1,C(C(F)(F)F)OCC(F)(F)F:2.2,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.51,,,30.0,23
"1.77 M LiFSI in DMC:BTFE (1.1:1.65 molar ratio, DMC:BTFE), corresponding to LiFSI:DMC:BTFE = 0.64:1.1:1.65 molar ratio",2.54,0.4,COC(=O)OC:1.1,C(C(F)(F)F)OCC(F)(F)F:1.65,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.64,,,30.0,23
"2.52 M LiFSI in DMC:BTFE (1.1:1.1 molar ratio, DMC:BTFE), corresponding to LiFSI:DMC:BTFE = 0.75:1.1:1.1 molar ratio",2.51,0.4,COC(=O)OC:1.1,C(C(F)(F)F)OCC(F)(F)F:1.1,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.75,,,30.0,23
"3.83 M LiFSI in DMC:BTFE (1.1:0.55 molar ratio, DMC:BTFE), corresponding to LiFSI:DMC:BTFE = 0.94:1.1:0.55 molar ratio",1.8,0.26,COC(=O)OC:1.1,C(C(F)(F)F)OCC(F)(F)F:0.55,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.94,,,30.0,23
"5.49 M LiFSI in DMC, corresponding to LiFSI:DMC = 1.0:1.1 molar ratio",1.0,0.0,COC(=O)OC:1.1,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1.0,,,30.0,23
"3.74 M LiFSI in DMC, corresponding to LiFSI:DMC = 1.0:2.0 molar ratio",6.41,0.81,COC(=O)OC:2.0,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1.0,,,30.0,23
"1.21 M LiFSI in DMC, corresponding to LiFSI:DMC = 1.0:9.0 molar ratio",7.23,0.86,COC(=O)OC:9.0,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1.0,,,30.0,23
"1.0 M LiPF6 in EC:EMC (4:6 by wt), corresponding to LiPF6:EC:EMC = 2.19:1.0:1.27 molar ratio",10.67,1.03,C1COC(=O)O1:1.0,CCOC(=O)OC:1.27,,,,[Li+].F[P-](F)(F)(F)(F)F:2.19,,,30.0,23
3.25 m LiTFSI-0.1 m LiNO3 in sulfolane (SL),1.0,0.0,O=S1(=O)CCCC1:10.4935549101682,,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:3.25,[Li+].[N+](=O)([O-])[O-]:0.1,,30.0,24
3.25 m LiTFSI in sulfolane (SL),1.06,0.03,O=S1(=O)CCCC1:10.4935549101682,,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:3.25,,,30.0,24
1 m LiTFSI in sulfolane (SL),1.83,0.26,O=S1(=O)CCCC1:10.4935549101682,,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:1,,,30.0,24
"LiFSI:DMC (1:12 molar ratio), corresponding to 0.91 mol/L LiFSI in DMC",7.73,0.89,COC(=O)OC:12,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,25.0,25
"LiFSI:DMC (1:8 molar ratio), corresponding to 1.35 mol/L LiFSI in DMC",10.74,1.03,COC(=O)OC:8,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,25.0,25
"LiFSI:DMC (1:6 molar ratio), corresponding to 1.73 mol/L LiFSI in DMC",11.93,1.08,COC(=O)OC:6,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,25.0,25
"LiFSI:DMC (1:4 molar ratio), corresponding to 2.41 mol/L LiFSI in DMC",10.5,1.02,COC(=O)OC:4,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,25.0,25
"LiFSI:DMC (1:3 molar ratio), corresponding to 3.00 mol/L LiFSI in DMC",7.52,0.88,COC(=O)OC:3,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,25.0,25
"LiFSI:DMC (1:2 molar ratio), corresponding to 3.89 mol/L LiFSI in DMC",3.89,0.59,COC(=O)OC:2,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,25.0,25
"LiFSI:DMC (1:1.5 molar ratio), corresponding to 4.65 mol/L LiFSI in DMC",2.3,0.36,COC(=O)OC:1.5,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,25.0,25
"LiFSI:DMC (1:1.2 molar ratio), corresponding to 5.15 mol/L LiFSI in DMC",1.51,0.18,COC(=O)OC:1.2,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,25.0,25
