Electrolyte,Ionic Conductivity,LIC,Solvent_1,Solvent_2,Solvent_3,Solvent_4,Solvent_5,Salt_1,Salt_2,Salt_3,Temperature,Reference
"LiFSI:DMC:TTE (1:1.5:0.5 molar ratio), corresponding to 3.42 mol/L LiFSI, 1.35 mol/L DMC, 1.16 mol/L TTE",2.27,0.36,COC(=O)OC:1.5,FC(F)C(F)(F)COC(F)(F)C(F)F:0.5,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,25.0,25
"LiFSI:DMC:TTE (1:1.5:1 molar ratio), corresponding to 2.78 mol/L LiFSI, 1.35 mol/L DMC, 2.32 mol/L TTE",2.1,0.32,COC(=O)OC:1.5,FC(F)C(F)(F)COC(F)(F)C(F)F:1,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,25.0,25
"LiFSI:DMC:TTE (1:1.5:1.5 molar ratio), corresponding to 2.27 mol/L LiFSI, 1.35 mol/L DMC, 3.48 mol/L TTE",1.7,0.23,COC(=O)OC:1.5,FC(F)C(F)(F)COC(F)(F)C(F)F:1.5,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,25.0,25
"LiFSI:DMC:TTE (1:1.5:2 molar ratio), corresponding to 1.95 mol/L LiFSI, 1.35 mol/L DMC, 4.64 mol/L TTE",1.38,0.14,COC(=O)OC:1.5,FC(F)C(F)(F)COC(F)(F)C(F)F:2,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,25.0,25
3 M LiFNFSI in DOL:DME (1:1 v/v),5.36,0.73,COCCOC:4.81580115401687,O1CCOC1:7.15462080509733,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F:3,,,25.0,26
3 M LiTFSI in DOL:DME (1:1 v/v),7.41,0.87,COCCOC:4.81580115401687,O1CCOC1:7.15462080509733,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:3,,,25.0,26
"5m LiTFSI in ethyl acetate (EA), with dichloromethane (DCM) diluent (1:4 by volume, EA:DCM) — termed '5m-1-4 co-solvent electrolyte'",3.0,0.48,O=C(OCC)C:2.0475801325706,ClCCl:12.5276691941789,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:5,,,25.0,28
"1.8 M LiFSI in diethyl ether (DEE):bis(2,2,2-trifluoroethyl) ether (BTFE) (1:4 w/w)",2.1,0.32,CCOCC:3.17394900618212,C(C(F)(F)F)OCC(F)(F)F:5.16835318639261,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1.8,,,25.0,30
9 M LiFSI in diethyl ether (DEE),1.8,0.26,CCOCC:9.624932542,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:9,,,25.0,30
1 M LiFSI in DME (no additive),16.4,1.21,COCCOC:9.631602308,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,25.0,31
1 M LiFSI in DME-TFEO (1:9 by weight; 1.2:3 by mole),1.43,0.16,COCCOC:1.57427821635861,FC(COC(OCC(F)(F)F)OCC(F)(F)F)(F)F:3.93019107160855,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,25.0,31
1 M LiPF6 in EC-EMC (3:7 by wt.) + 2 wt.% VC,8.31,0.92,C1COC(=O)O1:3.62,CCOC(=O)OC:7.15,C1=COC(=O)O1:0.29,,,[Li+].F[P-](F)(F)(F)(F)F:1,,,25.0,32
"LiFSI-1.2DME (high concentration electrolyte, HCE)",4.18,0.62,COCCOC:1.2,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,30.0,32
"LiFSI-1.2DME-3TTE (localized high concentration electrolyte, LHCE)",2.44,0.39,COCCOC:1.2,FC(F)C(F)(F)COC(F)(F)C(F)F:3,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,30.0,32
1 M LiPF6 in EC/DMC (1:1 by volume),11.8,1.07,C1COC(=O)O1:7.5,COC(=O)OC:5.94,,,,[Li+].F[P-](F)(F)(F)(F)F:1,,,25.0,33
4.2 M LiFSI in FEMC/FEC (2:1 by volume),3.05,0.48,C1C(OC(=O)O1)F:9.14,COC(=O)OCC(F)(F)F:2.82,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:4.2,,,25.0,33
1.28 M LiFSI in FEMC/FEC/D2 (2:1:7 by volume),2.3,0.36,C1C(OC(=O)O1)F:1.3709996794086,COC(=O)OCC(F)(F)F:1.69534413,C(C(F)(F)F)OC(C(F)F)(F)F:5.20283509277031,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1.28,,,25.0,33
0.7 M LiBETI in DEC/FEC/M3 (2.5:0.5:7 by volume),1.08,0.03,O=C(OCC)OCC:2.064,C1C(OC(=O)O1)F:0.686,COC(C(C(C(F)(F)F)(F)F)(F)F)(F)F:4.256,,,[Li+].C1=CN=CN1.C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F:0.7,,,25.0,33
"1 M LiPF6 in EC:DEC (3:7, by wt.)",6.9,0.84,C1COC(=O)O1:4.73,O=C(OCC)OCC:8.23,,,,[Li+].F[P-](F)(F)(F)(F)F:1,,,25.0,37
"1 M LiDFOB in EC:DEC (3:7, by wt.)",4.71,0.67,C1COC(=O)O1:4.73,O=C(OCC)OCC:8.23,,,,[Li+].[B-]1(OC(=O)C(=O)O1)(F)F:1,,,25.0,37
1.0 M LiPF6 in EC:DMC (1:1 by volume),8.36,0.92,C1COC(=O)O1:7.5,COC(=O)OC:5.94,,,,[Li+].F[P-](F)(F)(F)(F)F:1,,,25.0,38
1.0 M LiPF6 in FEC:DMC (1:1 by volume),10.53,1.02,C1C(OC(=O)O1)F:7,COC(=O)OC:5.94,,,,[Li+].F[P-](F)(F)(F)(F)F:1,,,25.0,38
1.0 M LiPF6 in FEC:DMC (1:1 by volume) with 1 wt% 12-Crown-4,11.14,1.05,C1C(OC(=O)O1)F:6.85499839704302,COC(=O)OC:5.9392970536646,O1CCOCCOCCOCC1:0.0802406814673568,,,[Li+].F[P-](F)(F)(F)(F)F:1,,,25.0,38
1 mol/L LiTFSI in EC:DMC (1:1 vol/vol),6.69,0.83,C1COC(=O)O1:7.5,COC(=O)OC:5.94,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:1,,,25.0,41
0.7 mol/L LiTFSI and 0.3 mol/L LiNO3 in (EC) : ethylene glycol diacetate (EGD) (1:1 vol/vol),6.09,0.78,C1COC(=O)O1:7.494719629,CC(=O)OCCOC(=O)C:3.777199945,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:0.7,[Li+].[N+](=O)([O-])[O-]:0.3,,25.0,41
0.1 M LiFSA in DEG-FTEG,0.43,-0.37,COCCOCCOCC(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)COCCOCCOC:1.970238008,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.1,,,30.0,42
0.1 M LiFSA in DME-FTEG,0.07,-1.14,COCCOCC(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)COCCOC:2.300004182,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.1,,,30.0,42
0.1 M LiFSA in MME-FTEG,0.0,-2.62,COCOCC(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)COCOC:2.429450563,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.1,,,30.0,42
1 M LiFSA in DEG-FTEG,2.4,0.38,COCCOCCOCC(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)COCCOCCOC:1.970238008,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,30.0,42
1 M LiFSA in DME-FTEG,0.91,-0.04,COCCOCC(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)COCCOC:2.300004182,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,30.0,42
0.1 M LiFSA in DEG-FTriEG,0.08,-1.09,COCCOCCOCC(F)(F)OC(F)(F)C(F)(F)OC(F)(F)COCCOCCOC:2.428987253,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.1,,,30.0,42
0.1 M LiFSA in DME-FTriEG,0.03,-1.59,COCCOCC(F)(F)OC(F)(F)C(F)(F)OC(F)(F)COCCOC:2.950514267,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.1,,,30.0,42
0.1 M LiFSA in MME-FTriEG,0.0,-2.32,COCOCC(F)(F)OC(F)(F)C(F)(F)OC(F)(F)COCOC:3.16699209,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.1,,,30.0,42
1 M LiFSA in DEG-FTriEG,0.27,-0.57,COCCOCCOCC(F)(F)OC(F)(F)C(F)(F)OC(F)(F)COCCOCCOC:2.428987253,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,30.0,42
1 M LiFSA in DME-FTriEG,0.24,-0.62,COCCOCC(F)(F)OC(F)(F)C(F)(F)OC(F)(F)COCCOC:2.950514267,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,30.0,42
0.1 M LiFSA in Tetraglyme,2.0,0.3,COCCOCCOCCOCCOC:4.539401465,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.1,,,30.0,42
1 M LiFSA in Tetraglyme,25.0,1.4,COCCOCCOCCOCCOC:4.539401465,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,30.0,42
1 M LiFSA in tetraglyme:TTE (1:1 v/v),25.0,1.4,COCCOCCOCCOCCOC:2.269700732,FC(F)C(F)(F)COC(F)(F)C(F)F:3.301203885,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,30.0,42
"1.5 M LiPF6 in FEC:EMC:DMC (34.6:57.2:8.2 mass%), with 1 wt% TMSB (tris(trimethylsilyl) borate) additive",9.8,0.99,C1C(OC(=O)O1)F:3.82000036255522,CCOC(=O)OC:6.04863215220908,COC(=O)OC:1.13369249854537,C[Si](C)(C)OB(O[Si](C)(C)C)O[Si](C)(C)C:0.04817260856,,[Li+].F[P-](F)(F)(F)(F)F:1.5,,,25.0,43
1.5 M LiPF6 in FEC:EMC:DMC (34.6:57.2:8.2 mass%) 'FED',8.4,0.92,C1C(OC(=O)O1)F:3.82000036255522,CCOC(=O)OC:6.04863215220908,COC(=O)OC:1.13369249854537,,,[Li+].F[P-](F)(F)(F)(F)F:1.5,,,25.0,43
LiFSI:DME:BTFE (1:1.2:3 molar ratio); overall salt concentration 1.65 M,4.88,0.69,COCCOC:1.98,C(C(F)(F)F)OCC(F)(F)F:4.95,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1.65,,,25.0,44
LiFSI:DME:TTE (1:1.2:3 molar ratio); overall salt concentration 1.49 M,2.44,0.39,COCCOC:1.2,FC(F)C(F)(F)COC(F)(F)C(F)F:3,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,25.0,44
LiFSI:DME:BTFEC (1:1.2:3 molar ratio); overall salt concentration 1.49 M,2.64,0.42,COCCOC:1.788,C(C(F)(F)F)OC(=O)OCC(F)(F)F:4.47,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1.49,,,25.0,44
LiFSI:DME:TFEB (1:1.4:3 molar ratio); overall salt concentration 1.17 M,1.88,0.27,COCCOC:1.638,B(OCC(F)(F)F)(OCC(F)(F)F)OCC(F)(F)F:3.51,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1.17,,,25.0,44
LiFSI:DME:TFEO (1:1.2:3 molar ratio); overall salt concentration 1.15 M,1.61,0.21,COCCOC:1.38,FC(COC(OCC(F)(F)F)OCC(F)(F)F)(F)F:3.45,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1.15,,,25.0,44
1.0 M LiFSI in THF,5.86,0.77,C1CCOC1:12.3155442139132,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,25.1,45
"1.0 M LiFSI in 1,4-DX",2.02,0.31,O1CCOCC1:10.3789288162146,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,25.2,45
1.0 M LiFSI in MeTHF,6.18,0.79,CC1CCC(C)O1:9.91524439800302,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,25.3,45
1.0 M LiFSI in DMeTHF,2.69,0.43,CC1CCC(C)O1:8.31702544031311,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,25.4,45
2 m LiFSI in FEC,4.72,0.67,C1C(OC(=O)O1)F:13.709996794086,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:2,,,25.0,47
4 m LiFSI in FEC,1.65,0.22,C1C(OC(=O)O1)F:13.709996794086,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:4,,,25.0,47
7 m LiFSI in FEC,1.24,0.09,C1C(OC(=O)O1)F:13.709996794086,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:7,,,25.0,47
1 M LiClO4 in ES (ethylene sulfite),2.09,0.32,C1COS(=O)O1:16.80057222,,,,,[Li+].[O-]Cl(=O)(=O)=O:1,,,20.0,49
1 M LiClO4 in EC-DMC (1:1 by volume ethylene carbonate:dimethyl carbonate),2.5,0.4,C1COC(=O)O1:7.49471962935205,COC(=O)OC:5.939297054,,,,[Li+].[O-]Cl(=O)(=O)=O:1,,,20.0,49
1 M LiClO4 in EC-ES (1:1 by volume ethylene carbonate:ethylene sulfite),2.18,0.34,C1COC(=O)O1:7.49471962935205,C1COS(=O)O1:8.4002861087546,,,,[Li+].[O-]Cl(=O)(=O)=O:1,,,20.0,49
LiFSI:SL (1:10.3 molar ratio),3.04,0.48,O=S1(=O)CCCC1:10.3,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,30.0,50
LiFSI:SL (1:3.0 molar ratio),1.95,0.29,O=S1(=O)CCCC1:3,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,30.0,50
LiFSI:SL (1:2.5 molar ratio),1.71,0.23,O=S1(=O)CCCC1:2.5,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,30.0,50
2 M LiFSI in DMC,12.38,1.09,COC(=O)OC:11.8785941073292,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:2,,,25.0,52
4 M LiFSI in DMC,8.27,0.92,COC(=O)OC:11.8785941073292,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:4,,,25.0,52
6 M LiFSI in DMC,5.38,0.73,COC(=O)OC:11.8785941073292,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:6,,,25.0,52
10 M LiFSI in DMC,1.58,0.2,COC(=O)OC:11.8785941073292,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:10,,,25.0,52
"1 M LiPF6 in methyl 3,3,3-trifluoropropionate (MTFP)/fluoroethylene carbonate (FEC) (9:1 v/v)",4.27,0.63,COC(=O)CC(F)(F)F:7.86106418918919,C1C(OC(=O)O1)F:1.3709996794086,,,,[Li+].F[P-](F)(F)(F)(F)F:1,,,25.0,53
1 M LiPF6 in methyl propionate (MP)/fluoroethylene carbonate (FEC) (9:1 v/v),13.78,1.14,CCC(=O)OC:10.38474634,C1C(OC(=O)O1)F:1.3709996794086,,,,[Li+].F[P-](F)(F)(F)(F)F:1,,,25.0,53
1 M LiPF6 in ethylene carbonate (EC)/diethyl carbonate (DEC) (1:1 v/v),7.01,0.85,C1COC(=O)O1:7.494719629,O=C(OCC)OCC:4.126809447,,,,[Li+].F[P-](F)(F)(F)(F)F:1,,,25.0,53
1.0 M LiPF6 in EC:DMC (1:1 v/v),12.15,1.08,C1COC(=O)O1:7.494719629,COC(=O)OC:5.939297054,,,,[Li+].F[P-](F)(F)(F)(F)F:1,,,25.0,54
30% dual-salt: 70 vol% 1.0 M LiPF6 in EC:DMC (1:1 v/v) + 30 vol% 0.5 M LiNO3 in TEGDME,10.08,1.0,C1COC(=O)O1:5.246303741,COC(=O)OC:4.157507938,COCCOCCOCCOCCOC:2.889480692,,,[Li+].F[P-](F)(F)(F)(F)F:0.7,[Li+].[N+](=O)([O-])[O-]:0.15,,25.0,54
50% dual-salt: 50 vol% 1.0 M LiPF6 in EC:DMC (1:1 v/v) + 50 vol% 0.5 M LiNO3 in TEGDME,7.25,0.86,C1COC(=O)O1:3.74735981467602,COC(=O)OC:2.9696485268323,COCCOCCOCCOCCOC:4.81580115401687,,,[Li+].F[P-](F)(F)(F)(F)F:0.5,[Li+].[N+](=O)([O-])[O-]:0.25,,25.0,54
70% dual-salt: 30 vol% 1.0 M LiPF6 in EC:DMC (1:1 v/v) + 70 vol% 0.5 M LiNO3 in TEGDME,2.36,0.37,C1COC(=O)O1:2.24841588880561,COC(=O)OC:1.78178911609938,COCCOCCOCCOCCOC:6.74212161562361,,,[Li+].F[P-](F)(F)(F)(F)F:0.3,[Li+].[N+](=O)([O-])[O-]:0.35,,25.0,54
0.5 M LiNO3 in TEGDME,0.11,-0.95,COCCOCCOCCOCCOC:4.539401465,,,,,[Li+].[N+](=O)([O-])[O-]:0.5,,,25.0,54
"4.6 m LiFSI + 2.3 m LiTFSI in DME (BSEE, Bisalt Ether Electrolyte)",4.2,0.62,COCCOC:9.63160230803373,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:4.6,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:2.3,,25.0,56
"4.6 m LiFSI in DME (SSEE, Single Salt Ether Electrolyte)",8.35,0.92,COCCOC:9.63160230803373,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:4.6,,,25.0,56
3.46 m LiFSI + 3.46 m LiTFSI in DME (EXP),3.28,0.52,COCCOC:9.63160230803373,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:3.46,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:3.46,,25.0,56
"LiFSI-8TMS (molar ratio 1:8, total 1.18 M)",2.93,0.47,O=S1(=O)CCCC1:8,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,25.0,57
"LiFSI-3TMS (molar ratio 1:3, total 2.62 M)",1.74,0.24,O=S1(=O)CCCC1:3,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,25.0,57
"LiFSI-3TMS-3TTE (molar ratio 1:3:3, total 1.20 M)",2.03,0.31,O=S1(=O)CCCC1:3,FC(F)C(F)(F)COC(F)(F)C(F)F:3,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,25.0,57
"[LiFSI]:[AN]:[VC] = 0.23:1:0.09 (4.5 m LiFSI in AN, with 0.09 mol VC per 1 mol AN)",37.02,1.57,CC#N:1,C1=COC(=O)O1:0.09,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.23,,,25.0,59
"[LiFSI]:[AN]:[VC] = 0.31:1:0.09 (6 m LiFSI in AN, with 0.09 mol VC per 1 mol AN)",30.2,1.48,CC#N:1,C1=COC(=O)O1:0.09,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.31,,,25.0,59
"[LiFSI]:[AN]:[VC] = 0.52:1:0.09 (10 m LiFSI in AN, with 0.09 mol VC per 1 mol AN)",16.13,1.21,CC#N:1,C1=COC(=O)O1:0.09,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.52,,,25.0,59
"[LiFSI]:[AN]:[VC] = 0.78:1:0.09 (15 m LiFSI in AN, with 0.09 mol VC per 1 mol AN)",7.46,0.87,CC#N:1,C1=COC(=O)O1:0.09,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.78,,,25.0,59
"[LiFSI]:[AN]:[VC] = 1.04:1:0.09 (20 m LiFSI in AN, with 0.09 mol VC per 1 mol AN)",3.2,0.5,CC#N:1,C1=COC(=O)O1:0.09,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1.04,,,25.0,59
1 M LiFSI in DOL:DME,17.0,1.23,COCCOC:4.81580115401687,O1CCOC1:7.15462080509733,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,23.0,61
1 M LiClO4 in DOL:DME,6.36,0.8,COCCOC:4.81580115401687,O1CCOC1:7.15462080509733,,,,[Li+].[O-]Cl(=O)(=O)=O:1,,,23.0,61
0.1 M LiFSI in DOL:DME,1.24,0.09,COCCOC:4.81580115401687,O1CCOC1:7.15462080509733,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.1,,,23.0,61
0.5 M LiFSI in DOL:DME,15.12,1.18,COCCOC:4.81580115401687,O1CCOC1:7.15462080509733,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.5,,,23.0,61
0.1 M LiFSI in DEE,0.01,-1.93,CCOCC:9.62493254182407,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.1,,,23.0,61
0.5 M LiFSI in DEE,0.8,-0.1,CCOCC:9.62493254182407,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.5,,,23.0,61
1 M LiFSI in DEE,0.96,-0.02,CCOCC:9.62493254182407,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,23.0,61
1.2 M LiFSI in DEE,11.0,1.04,CCOCCOCC:7.125207325,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1.2,,,25.0,62
1.2 M LiFSI in F3DEE,6.18,0.79,FC(F)(F)COCCOCC:6.21558194112043,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1.2,,,25.0,62
1.2 M LiFSI in F6DEE,4.48,0.65,FC(F)(F)COCCOCC(F)(F)(F):6.19129327271762,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1.2,,,25.0,62
1.2 M LiFSI in F4DEE,4.76,0.68,FC(F)COCCOCC(F)(F):6.52151046597244,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1.2,,,25.0,62
1.2 M LiFSI in F5DEE,5.01,0.7,FC(F)COCCOCC(F)(F)(F):6.19798973728211,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1.2,,,25.0,62
LiFSI:DMC:TTE (1:2.2:3 molar ratio),0.96,-0.02,COC(=O)OC:2.2,FC(F)C(F)(F)COC(F)(F)C(F)F:3,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,25.0,64
LiFSI:TMS:TTE (1:3:3 molar ratio),2.03,0.31,O=S1(=O)CCCC1:3,FC(F)C(F)(F)COC(F)(F)C(F)F:3,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,25.0,64
LiFSI:TEP:TTE (1:1.4:3 molar ratio),0.93,-0.03,CCOP(=O)(OCC)OCC:1.4,FC(F)C(F)(F)COC(F)(F)C(F)F:3,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,25.0,64
LiFSI:DME:TTE (1:1:3 molar ratio),1.59,0.2,COCCOC:1,FC(F)C(F)(F)COC(F)(F)C(F)F:3,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,25.0,64
1 M LiPF6 in FEC:FEMC:HFE (2:6:2 by weight),5.1,0.71,C1C(OC(=O)O1)F:2.57069238639734,COC(=O)OCC(F)(F)F:5.333139431,C(C(F)(F)F)OC(C(F)F)(F)F:1.36272498,,,[Li+].F[P-](F)(F)(F)(F)F:1,,,25.0,65
1 M LiPF6 in DMC,6.8,0.83,COC(=O)OC:11.87859411,,,,,[Li+].F[P-](F)(F)(F)(F)F:1,,,25.0,65
1 M LiPF6 in PC,5.4,0.73,CC1COC(=O)O1:11.75456469,,,,,[Li+].F[P-](F)(F)(F)(F)F:1,,,25.0,65
"LiFSI:TEP (1:1 molar ratio) (i.e., 1 mol LiFSI : 1 mol TEP), nonflammable liquid electrolyte",0.39,-0.41,CCOP(=O)(OCC)OCC:1,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,25.0,66
"LiFSI:TEP (1:3 molar ratio) (i.e., 1 mol LiFSI : 3 mol TEP), nonflammable liquid electrolyte",2.82,0.45,CCOP(=O)(OCC)OCC:3,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,25.0,66
